Date,Steam Plant (%),Combined-Cycle Plants (%),Solar PV (%) ,Others (%)
30 Jun 2020,0.00,97.90,0.46,1.64
31 Jul 2020,0.00,97.79,0.50,1.71
31 Aug 2020,0.00,97.55,0.56,1.89
30 Sep 2020,0.00,97.36,0.57,2.07
31 Oct 2020,0.00,97.44,0.59,1.97
30 Nov 2020,0.00,97.42,0.55,2.03
31 Dec 2020,0.00,97.27,0.61,2.12
31 Jan 2021,0.00,97.14,0.55,2.31
28 Feb 2021,0.00,96.83,0.76,2.41
31 Mar 2021,0.00,96.87,0.83,2.30
30 Apr 2021,0.00,97.16,0.77,2.07
31 May 2021,0.00,97.41,0.67,1.92
30 Jun 2021,0.00,97.34,0.60,2.06
31 Jul 2021,0.00,97.52,0.61,1.87
31 Aug 2021,0.00,97.54,0.54,1.92
30 Sep 2021,0.00,97.71,0.65,1.64
31 Oct 2021,0.17,97.31,0.81,1.71
30 Nov 2021,0.50,96.88,0.80,1.82
31 Dec 2021,0.01,97.41,0.94,1.64
31 Jan 2022,0.02,95.27,1.20,3.51
28 Feb 2022,0.17,96.14,1.04,2.65
31 Mar 2022,0.84,95.39,1.17,2.60
30 Apr 2022,0.40,95.74,1.08,2.78
31 May 2022,0.23,95.82,1.29,2.66
30 Jun 2022,0.00,96.22,1.05,2.73
31 Jul 2022,0.00,94.78,1.24,3.98
31 Aug 2022,0.01,95.79,1.17,3.03
30 Sep 2022,0.00,94.96,1.18,3.86
