year,month_in_yr,open,high,low,close
2006,1,2354.59,2440.71,2352.18,2412.08
2006,2,2425.66,2490.46,2415.03,2481.96
2006,3,2472.03,2541.29,2470.56,2533.39
2006,4,2542.77,2620.35,2531.74,2610.71
2006,5,2613.87,2666.33,2368.72,2383.87
2006,6,2394.36,2446.26,2277.9,2435.38
2006,7,2435.35,2456.52,2319.03,2445.42
2006,8,2436.63,2492.27,2427.05,2482.38
2006,9,2489.21,2576.26,2480.16,2568.86
2006,10,2571.45,2754.33,2569.8,2701.75
2006,11,2707.41,2860.21,2698.08,2838.53
2006,12,2843.63,2991.35,2826.31,2985.83
2007,1,3015.74,3173.98,2948.98,3125.56
2007,2,3151.27,3316.22,3039.6,3111.93
2007,3,3133.87,3250.86,2931.62,3231.24
2007,4,3240.07,3452.84,3231.12,3361.29
2007,5,3395.57,3559.01,3381.29,3511.12
2007,6,3547.63,3652.02,3480.62,3548.2
2007,7,3553.48,3688.58,3444.05,3547.65
2007,8,3516.03,3525.29,2962.01,3392.9
2007,9,3390.84,3726.53,3368.6,3706.23
2007,10,3734.93,3906.15,3632.98,3805.7
2007,11,3837.77,3842.95,3306.53,3521.27
2007,12,3549.47,3621.84,3300.86,3482.3
2008,1,3462.68,3474.89,2746.73,2981.75
2008,2,3015.89,3129.27,2859.08,3026.45
2008,3,2940.87,3058.91,2745.96,3007.36
2008,4,3007.36,3235.24,2994.84,3147.79
2008,5,3206.72,3269.87,3085.12,3192.62
2008,6,3188.22,3214.62,2922.87,2947.54
2008,7,2960.43,2997.82,2819.64,2929.64
2008,8,2893.98,2911.83,2688.32,2739.95
2008,9,2718.07,2763.41,2239.75,2358.91
2008,10,2371.07,2398.67,1473.77,1794.2
2008,11,1838.28,1933.51,1570.23,1732.57
2008,12,1709.51,1844.03,1638.67,1761.56
2009,1,1781.51,1959.95,1677.06,1746.47
2009,2,1734.23,1746.93,1567.22,1594.87
2009,3,1566.81,1779.04,1455.47,1699.99
2009,4,1696.4,1947.3,1689.87,1920.28
2009,5,1939.46,2347.37,1930.6,2329.08
2009,6,2341.48,2424.52,2211.81,2333.14
2009,7,2329.37,2659.2,2235.45,2659.2
2009,8,2648.17,2700.78,2521.36,2592.9
2009,9,2601.88,2707.24,2560.15,2672.57
2009,10,2662.74,2739.55,2576.84,2651.13
2009,11,2621.52,2803.85,2616.49,2732.12
2009,12,2750.35,2897.62,2743.36,2897.62
2010,1,2891.35,2947.08,2706.26,2745.35
2010,2,2742.23,2797.0,2665.97,2746.43
2010,3,2762.98,2937.8,2749.74,2887.46
2010,4,2898.76,3037.97,2898.21,2974.61
2010,5,2956.17,2959.7,2648.15,2752.6
2010,6,2741.67,2890.09,2710.8,2835.51
2010,7,2819.74,3018.26,2819.74,2987.7
2010,8,3011.84,3043.28,2910.21,2950.33
2010,9,2958.47,3125.72,2958.47,3097.63
2010,10,3106.92,3220.71,3101.46,3142.62
2010,11,3150.89,3313.61,3118.62,3144.7
2010,12,3144.75,3220.89,3121.07,3190.04
2011,1,3211.22,3280.77,3177.78,3179.72
2011,2,3188.93,3232.99,2965.24,3010.51
2011,3,3027.67,3115.47,2919.98,3105.85
2011,4,3107.9,3208.34,3103.22,3179.86
2011,5,3180.68,3182.46,3078.26,3159.93
2011,6,3161.87,3181.53,2999.19,3120.44
2011,7,3131.74,3200.56,3056.71,3189.26
2011,8,3205.76,3227.28,2680.83,2885.26
2011,9,2886.75,2910.28,2627.24,2675.16
2011,10,2642.68,2905.72,2521.95,2855.77
2011,11,2832.37,2880.12,2643.54,2702.46
2011,12,2774.01,2793.08,2606.52,2646.35
2012,1,2658.17,2917.59,2657.77,2906.69
2012,2,2900.27,3031.45,2883.49,2994.06
2012,3,3000.43,3035.78,2909.16,3010.46
2012,4,3013.37,3033.15,2946.29,2978.57
2012,5,2986.94,3013.11,2758.41,2772.54
2012,6,2758.14,2897.96,2698.9,2878.45
2012,7,2902.09,3040.11,2888.05,3036.4
2012,8,3026.54,3088.45,3004.76,3025.46
2012,9,3013.63,3088.35,2977.64,3060.34
2012,10,3054.57,3110.86,3021.92,3038.37
2012,11,3026.4,3083.26,2931.6,3069.95
2012,12,3086.49,3195.74,3052.23,3167.08
2013,1,3188.59,3290.9,3160.83,3282.66
2013,2,3286.65,3319.19,3250.87,3269.95
2013,3,3266.84,3321.62,3234.67,3308.1
2013,4,3313.37,3383.46,3264.08,3368.18
2013,5,3370.19,3464.79,3303.11,3311.37
2013,6,3287.1,3304.07,3065.42,3150.44
2013,7,3147.49,3277.55,3125.49,3221.93
2013,8,3244.23,3268.63,2990.68,3028.94
2013,9,3037.59,3260.14,3015.42,3167.87
2013,10,3180.72,3235.25,3122.38,3210.67
2013,11,3212.13,3218.55,3158.4,3176.35
2013,12,3177.87,3197.09,3025.41,3167.43
2014,1,3179.67,3187.8,3012.26,3027.22
2014,2,3011.41,3121.29,2953.01,3110.78
2014,3,3078.29,3194.2,3053.59,3188.62
2014,4,3202.18,3284.17,3181.89,3264.71
2014,5,3263.08,3308.43,3221.74,3295.85
2014,6,3302.4,3311.12,3246.72,3255.67
2014,7,3247.86,3387.84,3234.14,3374.06
2014,8,3348.55,3358.44,3278.21,3327.09
2014,9,3327.07,3356.71,3256.97,3276.74
2014,10,3267.96,3274.25,3149.91,3274.25
2014,11,3286.57,3360.32,3273.68,3350.5
2014,12,3352.32,3373.93,3200.63,3365.15
2015,1,3364.08,3432.62,3267.89,3391.2
2015,2,3398.51,3458.14,3394.54,3402.86
2015,3,3408.88,3469.02,3356.66,3447.01
2015,4,3439.76,3549.85,3435.59,3487.39
2015,5,3479.01,3490.74,3381.79,3392.11
2015,6,3375.05,3375.05,3267.68,3317.33
2015,7,3317.47,3383.56,3184.57,3202.5
2015,8,3205.59,3217.13,2808.31,2921.44
2015,9,2915.53,2931.65,2740.36,2790.89
2015,10,2795.4,3104.72,2765.44,2998.35
2015,11,2976.72,3043.85,2843.95,2855.94
2015,12,2862.79,2911.44,2793.39,2882.73
2016,1,2889.23,2890.21,2529.01,2629.11
2016,2,2637.05,2684.79,2528.44,2666.51
2016,3,2666.71,2906.8,2654.98,2840.9
2016,4,2829.83,2964.1,2783.73,2838.52
2016,5,2842.86,2848.9,2713.47,2791.06
2016,6,2787.99,2881.92,2703.48,2840.93
2016,7,2848.45,2958.9,2830.0,2868.69
2016,8,2875.59,2898.27,2810.88,2820.59
2016,9,2821.93,2911.84,2791.38,2869.47
2016,10,2879.85,2901.73,2783.33,2813.87
2016,11,2814.08,2915.42,2760.97,2905.17
2016,12,2913.65,2980.77,2857.91,2880.76
2017,1,2887.0,3065.13,2869.66,3046.8
2017,2,3045.94,3138.97,3030.65,3096.61
2017,3,3106.3,3188.02,3104.33,3175.11
2017,4,3180.27,3189.81,3113.9,3175.44
2017,5,3183.43,3275.39,3183.41,3210.82
2017,6,3214.12,3270.92,3196.49,3226.48
2017,7,3228.91,3354.71,3196.14,3329.52
2017,8,3321.5,3349.09,3244.23,3277.26
2017,9,3274.39,3275.14,3193.41,3219.91
2017,10,3233.95,3392.15,3230.81,3374.08
2017,11,3377.19,3449.32,3341.3,3433.54
2017,12,3441.85,3469.36,3370.22,3402.92
2018,1,3406.48,3611.69,3403.87,3533.99
2018,2,3536.93,3574.59,3340.55,3517.94
2018,3,3493.44,3555.98,3382.78,3427.97
2018,4,3439.04,3628.43,3338.96,3613.93
2018,5,3624.2,3641.65,3428.18,3428.18
2018,6,3423.5,3492.34,3237.77,3268.7
2018,7,3277.43,3341.42,3176.26,3319.85
2018,8,3331.05,3347.98,3187.83,3213.48
2018,9,3209.97,3265.01,3102.73,3257.05
2018,10,3262.43,3272.88,2955.68,3018.8
2018,11,3045.68,3130.71,3007.31,3117.61
2018,12,3154.22,3192.88,3000.45,3068.76
2019,1,3072.99,3250.27,2993.42,3190.17
2019,2,3194.22,3286.08,3174.0,3212.69
2019,3,3210.84,3251.72,3156.79,3212.88
2019,4,3229.11,3415.18,3227.62,3400.2
2019,5,3389.52,3397.18,3110.51,3117.76
2019,6,3111.51,3336.08,3104.03,3321.61
2019,7,3339.58,3386.65,3299.89,3300.75
2019,8,3282.79,3311.26,3040.16,3106.52
2019,9,3092.25,3216.87,3074.04,3119.99
2019,10,3130.11,3235.24,3068.83,3229.88
2019,11,3227.6,3285.72,3182.05,3193.92
2019,12,3198.27,3239.24,3144.07,3222.83
2020,1,3230.48,3283.89,3144.1,3153.73
2020,2,3131.02,3233.86,3008.46,3011.08
2020,3,2988.35,3047.79,2208.42,2481.23
2020,4,2468.17,2671.58,2380.84,2624.23
2020,5,2555.67,2611.74,2489.94,2510.75
2020,6,2519.42,2839.39,2516.46,2589.91
2020,7,2604.08,2707.67,2511.02,2529.82
2020,8,2522.53,2602.33,2478.39,2532.51
2020,9,2521.81,2546.87,2448.0,2466.62
2020,10,2479.29,2570.19,2420.84,2423.84
2020,11,2428.98,2920.55,2423.7,2805.95
2020,12,2802.94,2878.13,2792.74,2843.81
2021,1,2846.2,3017.15,2832.04,2902.52
2021,2,2888.75,2976.36,2869.3,2949.04
2021,3,2948.69,3204.24,2948.64,3165.34
2021,4,3187.17,3237.23,3145.28,3218.27
2021,5,3221.79,3221.94,3023.95,3164.28
2021,6,3176.71,3188.0,3089.49,3130.46
2021,7,3140.25,3195.25,3095.35,3166.94
2021,8,3176.42,3207.99,3050.24,3055.05
2021,9,3055.71,3108.53,3037.79,3086.7
2021,10,3072.54,3228.05,3044.73,3198.17
2021,11,3226.23,3273.54,3041.29,3041.29
2021,12,3052.4,3161.95,3045.13,3123.68
2022,1,3130.48,3299.64,3127.6,3249.59
2022,2,3302.23,3466.23,3214.93,3242.24
2022,3,3262.49,3456.09,3128.06,3408.52
2022,4,3403.93,3445.9,3303.07,3356.9
2022,5,3365.43,3373.15,3165.18,3232.49
2022,6,3242.92,3253.15,3072.34,3102.21
2022,7,3104.25,3244.29,3088.25,3211.56
2022,8,3238.18,3307.29,3205.58,3221.67
2022,9,3211.56,3297.59,3098.24,3130.24
2022,10,3113.0,3168.4,2968.87,3093.11
2022,11,3107.0,3308.3,3091.18,3290.49
2022,12,3306.49,3313.8,3225.45,3257.7
