year,month_in_yr,open,high,low,close,no_of_rainy_days,total_rainfall,mean_sunshine_hrs,mean_temp
2017,4,3180.27,3189.81,3113.9,3175.44,21,208.6,5.3,27.8
2017,5,3183.43,3275.39,3183.41,3210.82,15,190.0,5.9,28.5
2017,6,3214.12,3270.92,3196.49,3226.48,10,106.0,6.3,28.5
2017,7,3228.91,3354.71,3196.14,3329.52,9,79.6,7.0,28.3
2017,8,3321.5,3349.09,3244.23,3277.26,18,84.2,6.1,28.1
2017,9,3274.39,3275.14,3193.41,3219.91,19,124.4,5.7,28.0
2017,10,3233.95,3392.15,3230.81,3374.08,18,120.8,5.5,27.9
2017,11,3377.19,3449.32,3341.3,3433.54,24,268.6,4.2,27.1
2017,12,3441.85,3469.36,3370.22,3402.92,23,371.2,5.6,27.0
2018,1,3406.48,3611.69,3403.87,3533.99,25,287.0,4.1,26.1
2018,2,3536.93,3574.59,3340.55,3517.94,5,14.8,8.0,27.2
2018,3,3493.44,3555.98,3382.78,3427.97,10,44.6,6.4,28.0
2018,4,3439.04,3628.43,3338.96,3613.93,14,61.2,6.8,28.5
2018,5,3624.2,3641.65,3428.18,3428.18,19,132.2,5.8,28.7
2018,6,3423.5,3492.34,3237.77,3268.7,17,182.6,4.1,28.4
2018,7,3277.43,3341.42,3176.26,3319.85,10,143.2,6.1,28.5
2018,8,3331.05,3347.98,3187.83,3213.48,11,121.6,6.7,28.5
2018,9,3209.97,3265.01,3102.73,3257.05,13,144.4,6.0,28.0
2018,10,3262.43,3272.88,2955.68,3018.8,18,234.4,6.1,27.9
2018,11,3045.68,3130.71,3007.31,3117.61,27,169.6,3.8,27.3
2018,12,3154.22,3192.88,3000.45,3068.76,19,172.6,5.1,27.6
2019,1,3072.99,3250.27,2993.42,3190.17,9,63.6,7.1,28.0
2019,2,3194.22,3286.08,3174.0,3212.69,5,31.6,9.2,28.2
2019,3,3210.84,3251.72,3156.79,3212.88,6,72.2,8.3,28.7
2019,4,3229.11,3415.18,3227.62,3400.2,9,174.8,5.9,28.6
2019,5,3389.52,3397.18,3110.51,3117.76,13,69.0,7.0,29.3
2019,6,3111.51,3336.08,3104.03,3321.61,16,173.8,5.3,28.4
2019,7,3339.58,3386.65,3299.89,3300.75,8,12.2,7.5,29.0
2019,8,3282.79,3311.26,3040.16,3106.52,6,11.8,7.6,29.1
2019,9,3092.25,3216.87,3074.04,3119.99,4,22.8,6.7,29.0
2019,10,3130.11,3235.24,3068.83,3229.88,15,176.8,6.5,28.1
2019,11,3227.6,3285.72,3182.05,3193.92,15,137.4,5.5,28.0
2019,12,3198.27,3239.24,3144.07,3222.83,14,421.5,4.8,26.7
2020,1,3230.48,3283.89,3144.1,3153.73,6,88.4,7.1,27.7
2020,2,3131.02,3233.86,3008.46,3011.08,8,65.0,8.3,27.9
2020,3,2988.35,3047.79,2208.42,2481.23,8,108.8,7.6,28.6
2020,4,2468.17,2671.58,2380.84,2624.23,12,188.0,7.1,28.9
2020,5,2555.67,2611.74,2489.94,2510.75,16,255.6,5.7,28.9
2020,6,2519.42,2839.39,2516.46,2589.91,21,233.8,4.3,28.1
2020,7,2604.08,2707.67,2511.02,2529.82,22,140.8,5.7,27.9
2020,8,2522.53,2602.33,2478.39,2532.51,12,103.4,6.4,28.3
2020,9,2521.81,2546.87,2448.0,2466.62,18,150.2,4.8,27.5
2020,10,2479.29,2570.19,2420.84,2423.84,16,78.8,4.3,28.3
2020,11,2428.98,2920.55,2423.7,2805.95,19,220.6,4.0,27.2
2020,12,2802.94,2878.13,2792.74,2843.81,20,253.2,5.2,27.2
2021,1,2846.2,3017.15,2832.04,2902.52,17,692.8,4.2,26.0
2021,2,2888.75,2976.36,2869.3,2949.04,2,1.0,8.2,27.3
2021,3,2948.69,3204.24,2948.64,3165.34,14,182.4,7.3,27.9
2021,4,3187.17,3237.23,3145.28,3218.27,14,290.4,6.8,28.2
2021,5,3221.79,3221.94,3023.95,3164.28,13,245.8,6.0,28.7
2021,6,3176.71,3188.0,3089.49,3130.46,20,93.4,6.5,28.5
2021,7,3140.25,3195.25,3095.35,3166.94,12,195.8,6.8,28.6
2021,8,3176.42,3207.99,3050.24,3055.05,24,293.6,4.8,27.6
2021,9,3055.71,3108.53,3037.79,3086.7,14,205.4,6.4,28.3
2021,10,3072.54,3228.05,3044.73,3198.17,14,177.0,6.2,28.5
2021,11,3226.23,3273.54,3041.29,3041.29,23,312.4,4.9,27.6
2021,12,3052.4,3161.95,3045.13,3123.68,15,119.6,5.4,27.7
2022,1,3130.48,3299.64,3127.6,3249.59,9,99.8,8.3,27.4
2022,2,3302.23,3466.23,3214.93,3242.24,16,175.0,5.9,27.3
2022,3,3262.49,3456.09,3128.06,3408.52,21,163.2,6.4,28.1
2022,4,3403.93,3445.9,3303.07,3356.9,18,239.6,5.2,28.1
2022,5,3365.43,3373.15,3165.18,3232.49,12,102.0,6.7,29.2
2022,6,3242.92,3253.15,3072.34,3102.21,17,211.8,4.7,27.9
2022,7,3104.25,3244.29,3088.25,3211.56,16,145.2,6.2,28.6
2022,8,3238.18,3307.29,3205.58,3221.67,15,141.4,5.5,28.1
2022,9,3211.56,3297.59,3098.24,3130.24,14,121.0,3.8,27.9
2022,10,3113.0,3168.4,2968.87,3093.11,27,280.0,3.5,27.6
